nr, zaleznosci;procent
1 & 7 & 52;37,5
1 & 14 & 66;35,82
1 & 16 & 69;33,67
2 & 4 & 17;33,33
2 & 9 & 56;43,75
2 & 11 & 45;33,61
2 & 13 & 28;33,78
2 & 13 & 36;33,78
3 & 4 & 56;35
3 & 5 & 20;42,42
3 & 5 & 45;33,33
3 & 5 & 51;34,85
3 & 8 & 20;33,33
3 & 10 & 21;33,33
3 & 11 & 38;34,62
3 & 13 & 65;34,78
3 & 13 & 70;36,96
3 & 14 & 64;34,29
4 & 2 & 17;33,33
4 & 3 & 56;35
4 & 7 & 17;41,43
4 & 8 & 17;39,09
4 & 9 & 56;33,33
4 & 14 & 28;34,29
4 & 18 & 17;34,94
4 & 49 & 17;34,97
4 & 51 & 17;33,06
4 & 53 & 17;33,45
4 & 55 & 17;33,18
5 & 3 & 20;42,42
5 & 3 & 45;33,33
5 & 3 & 51;34,85
5 & 6 & 36;36,36
5 & 6 & 72;36,36
5 & 9 & 18;33,33
5 & 13 & 53;35,29
6 & 5 & 36;36,36
6 & 5 & 72;36,36
6 & 8 & 17;38,89
6 & 11 & 28;39,39
7 & 1 & 52;37,5
7 & 4 & 17;41,43
7 & 10 & 29;33,33
7 & 12 & 17;39,68
7 & 12 & 57;41,27
7 & 12 & 67;34,92
7 & 12 & 70;33,33
7 & 13 & 41;35,23
7 & 13 & 53;34,09
7 & 16 & 17;38,24
7 & 47 & 17;33,22
8 & 3 & 20;33,33
8 & 4 & 17;39,09
8 & 6 & 17;38,89
8 & 11 & 53;33,33
8 & 11 & 67;35,42
8 & 12 & 17;33,64
8 & 13 & 33;33,75
8 & 13 & 53;36,25
8 & 13 & 67;36,25
9 & 2 & 56;43,75
9 & 4 & 56;33,33
9 & 5 & 18;33,33
9 & 10 & 33;40
9 & 11 & 33;38,89
9 & 11 & 56;33,33
9 & 11 & 57;36,11
9 & 12 & 60;34,52
9 & 20 & 56;33,33
9 & 27 & 35;37,24
9 & 47 & 33;33,48
9 & 57 & 56;34,03
9 & 59 & 56;33,97
10 & 3 & 21;33,33
10 & 7 & 29;33,33
10 & 9 & 33;40
10 & 11 & 38;42,47
10 & 11 & 53;34,25
10 & 13 & 65;33,77
10 & 16 & 53;35,35
10 & 27 & 53;36,93
10 & 29 & 53;33,02
10 & 30 & 53;36,27
10 & 31 & 53;34,36
10 & 45 & 53;34,15
10 & 59 & 53;33,08
11 & 2 & 45;33,61
11 & 3 & 38;34,62
11 & 6 & 28;39,39
11 & 8 & 53;33,33
11 & 8 & 67;35,42
11 & 9 & 33;38,89
11 & 9 & 56;33,33
11 & 9 & 57;36,11
11 & 10 & 38;42,47
11 & 10 & 53;34,25
11 & 13 & 28;35,9
11 & 16 & 42;33,33
11 & 59 & 53;33,18
12 & 7 & 17;39,68
12 & 7 & 57;41,27
12 & 7 & 67;34,92
12 & 7 & 70;33,33
12 & 8 & 17;33,64
12 & 9 & 60;34,52
12 & 14 & 32;38,18
12 & 15 & 53;33,33
12 & 30 & 53;33,33
13 & 2 & 28;33,78
13 & 2 & 36;33,78
13 & 3 & 65;34,78
13 & 3 & 70;36,96
13 & 5 & 53;35,29
13 & 7 & 41;35,23
13 & 7 & 53;34,09
13 & 8 & 33;33,75
13 & 8 & 53;36,25
13 & 8 & 67;36,25
13 & 10 & 65;33,77
13 & 11 & 28;35,9
13 & 15 & 67;40,35
13 & 27 & 53;35,89
13 & 45 & 53;34,31
14 & 1 & 66;35,82
14 & 3 & 64;34,29
14 & 4 & 28;34,29
14 & 12 & 32;38,18
14 & 15 & 44;34,18
14 & 16 & 56;36,11
14 & 27 & 53;34,17
15 & 12 & 53;33,33
15 & 13 & 67;40,35
15 & 14 & 44;34,18
15 & 16 & 60;35,44
15 & 27 & 53;34,44
15 & 54 & 53;33,59
15 & 56 & 53;33,77
16 & 1 & 69;33,67
16 & 7 & 17;38,24
16 & 10 & 53;35,35
16 & 11 & 42;33,33
16 & 14 & 56;36,11
16 & 15 & 60;35,44
16 & 47 & 17;33,13
18 & 4 & 17;34,94
19 & 47 & 17;33,22
20 & 9 & 56;33,33
27 & 9 & 35;37,24
27 & 10 & 53;36,93
27 & 13 & 53;35,89
27 & 14 & 53;34,17
27 & 15 & 53;34,44
27 & 31 & 53;33,32
29 & 10 & 53;33,02
30 & 10 & 53;36,27
30 & 12 & 53;33,33
31 & 10 & 53;34,36
31 & 27 & 53;33,32
45 & 10 & 53;34,15
45 & 13 & 53;34,31
47 & 7 & 17;33,22
47 & 9 & 33;33,48
47 & 16 & 17;33,13
47 & 19 & 17;33,22
47 & 51 & 17;33,32
49 & 4 & 17;34,97
51 & 4 & 17;33,06
51 & 47 & 17;33,32
53 & 4 & 17;33,45
54 & 15 & 53;33,59
55 & 4 & 17;33,18
56 & 15 & 53;33,77
57 & 9 & 56;34,03
59 & 9 & 56;33,97
59 & 10 & 53;33,08
59 & 11 & 53;33,18
