nr zaleznosci;procent
1 & 17;25,31
2 & 17;26,16
4 & 17;27,87
6 & 17;25,12
7 & 17;25,17
8 & 17;25,36
10 & 53;26,81
11 & 53;26,91
12 & 53;26,49
13 & 53;26,59
14 & 53;26,58
16 & 53;25,97
17 & 53;25,96
19 & 17;25,04
20 & 17;25,42
21 & 17;25,05
22 & 17;25,26
24 & 17;25,03
27 & 53;27,65
28 & 53;25,21
29 & 53;25,46
30 & 53;25,92
31 & 53;26,14
32 & 53;25,45
45 & 53;26,06
47 & 17;27,46
48 & 17;25,33
49 & 17;25,15
50 & 17;25,53
51 & 17;25,38
52 & 17;25,19
53 & 17;25,37
54 & 53;25,78
55 & 53;25,44
56 & 53;26,58
57 & 53;25,57
58 & 53;25,36
59 & 53;26,06
60 & 53;25,55
