nr, zaleznosci;procent
1 & 5 & 17;34,45
1 & 6 & 17;33,33
1 & 6 & 48;33,33
1 & 6 & 62;33,33
1 & 16 & 69;35
2 & 4 & 17;38,46
2 & 5 & 36;33,68
2 & 9 & 46;33,33
3 & 7 & 61;37,25
3 & 8 & 20;42,55
3 & 8 & 21;34,04
3 & 8 & 57;36,17
3 & 8 & 70;34,04
3 & 9 & 35;35,71
3 & 11 & 38;34,38
3 & 12 & 20;36,23
3 & 13 & 65;35,29
3 & 14 & 20;37,1
3 & 16 & 48;33,33
4 & 2 & 17;38,46
4 & 9 & 18;34,92
4 & 11 & 53;37,18
4 & 16 & 17;35,45
4 & 16 & 28;33,64
4 & 47 & 17;34,92
4 & 49 & 17;33,47
5 & 1 & 17;34,45
5 & 2 & 36;33,68
5 & 8 & 20;33,61
5 & 11 & 45;37,29
5 & 11 & 53;33,9
5 & 11 & 71;33,9
5 & 12 & 36;33,33
5 & 12 & 53;36,56
6 & 1 & 17;33,33
6 & 1 & 48;33,33
6 & 1 & 62;33,33
6 & 7 & 17;33,33
6 & 8 & 17;34,52
6 & 8 & 20;39,29
6 & 9 & 34;34,04
6 & 9 & 35;34,04
6 & 9 & 62;36,17
6 & 11 & 20;33,75
6 & 15 & 44;38,14
6 & 15 & 69;34,02
6 & 16 & 53;35,9
7 & 3 & 61;37,25
7 & 6 & 17;33,33
7 & 8 & 45;33,9
7 & 9 & 35;35,71
7 & 9 & 67;35,71
7 & 10 & 29;35
7 & 10 & 48;37,5
7 & 10 & 65;35
7 & 10 & 70;35
7 & 12 & 32;37,74
7 & 13 & 69;35,48
7 & 15 & 17;36,05
8 & 3 & 20;42,55
8 & 3 & 21;34,04
8 & 3 & 57;36,17
8 & 3 & 70;34,04
8 & 5 & 20;33,61
8 & 6 & 17;34,52
8 & 6 & 20;39,29
8 & 7 & 45;33,9
8 & 10 & 52;33,33
8 & 13 & 21;36,84
8 & 13 & 59;34,21
8 & 15 & 35;33,61
9 & 2 & 46;33,33
9 & 3 & 35;35,71
9 & 4 & 18;34,92
9 & 6 & 34;34,04
9 & 6 & 35;34,04
9 & 6 & 62;36,17
9 & 7 & 35;35,71
9 & 7 & 67;35,71
9 & 10 & 29;37,74
9 & 10 & 32;33,96
9 & 11 & 18;36,84
9 & 11 & 57;36,84
9 & 12 & 43;33,33
9 & 15 & 71;33,85
10 & 7 & 29;35
10 & 7 & 48;37,5
10 & 7 & 65;35
10 & 7 & 70;35
10 & 8 & 52;33,33
10 & 9 & 29;37,74
10 & 9 & 32;33,96
10 & 11 & 20;34,78
10 & 11 & 53;37,68
10 & 13 & 70;36,96
11 & 3 & 38;34,38
11 & 4 & 53;37,18
11 & 5 & 45;37,29
11 & 5 & 53;33,9
11 & 5 & 71;33,9
11 & 6 & 20;33,75
11 & 9 & 18;36,84
11 & 9 & 57;36,84
11 & 10 & 20;34,78
11 & 10 & 53;37,68
11 & 13 & 63;33,85
11 & 13 & 65;33,85
11 & 14 & 57;34,02
11 & 16 & 53;34,33
11 & 28 & 53;34,62
11 & 59 & 53;35,95
12 & 3 & 20;36,23
12 & 5 & 36;33,33
12 & 5 & 53;36,56
12 & 7 & 32;37,74
12 & 9 & 43;33,33
12 & 15 & 36;33,59
12 & 16 & 53;36,76
12 & 30 & 53;33,48
12 & 57 & 53;34,2
12 & 60 & 53;36,18
13 & 3 & 65;35,29
13 & 7 & 69;35,48
13 & 8 & 21;36,84
13 & 8 & 59;34,21
13 & 10 & 70;36,96
13 & 11 & 63;33,85
13 & 11 & 65;33,85
13 & 15 & 69;33,85
13 & 27 & 53;35,49
14 & 3 & 20;37,1
14 & 11 & 57;34,02
14 & 15 & 44;33,33
14 & 15 & 64;33,33
14 & 16 & 53;37,08
15 & 6 & 44;38,14
15 & 6 & 69;34,02
15 & 7 & 17;36,05
15 & 8 & 35;33,61
15 & 9 & 71;33,85
15 & 12 & 36;33,59
15 & 13 & 69;33,85
15 & 14 & 44;33,33
15 & 14 & 64;33,33
15 & 27 & 53;33,48
15 & 66 & 44;33,77
16 & 1 & 69;35
16 & 3 & 48;33,33
16 & 4 & 17;35,45
16 & 4 & 28;33,64
16 & 6 & 53;35,9
16 & 11 & 53;34,33
16 & 12 & 53;36,76
16 & 14 & 53;37,08
16 & 56 & 53;33,12
27 & 13 & 53;35,49
27 & 15 & 53;33,48
27 & 29 & 53;34,98
27 & 30 & 53;34,55
27 & 31 & 53;34,23
27 & 32 & 53;33,51
28 & 11 & 53;34,62
29 & 27 & 53;34,98
30 & 12 & 53;33,48
30 & 27 & 53;34,55
31 & 27 & 53;34,23
32 & 27 & 53;33,51
47 & 4 & 17;34,92
49 & 4 & 17;33,47
56 & 16 & 53;33,12
57 & 12 & 53;34,2
59 & 11 & 53;35,95
60 & 12 & 53;36,18
66 & 15 & 44;33,77
