nr, zaleznosci;procent
1 & 10 & 25;34,48
1 & 13 & 17;38,89
1 & 13 & 49;36,67
2 & 3 & 68;39,29
2 & 4 & 17;36,7
2 & 13 & 28;35,14
2 & 13 & 65;33,78
2 & 15 & 36;33,98
3 & 2 & 68;39,29
3 & 4 & 57;35,14
3 & 5 & 57;33,82
3 & 9 & 35;37,74
3 & 10 & 20;35,71
3 & 10 & 38;33,93
3 & 12 & 20;38,03
3 & 16 & 20;35,09
3 & 50 & 20;34,76
4 & 2 & 17;36,7
4 & 3 & 57;35,14
4 & 8 & 17;33,61
4 & 9 & 18;35,29
4 & 11 & 18;35,38
4 & 13 & 32;34,29
4 & 14 & 57;35,09
4 & 22 & 17;33,33
4 & 47 & 17;35,02
4 & 52 & 17;33,52
4 & 53 & 17;33,33
5 & 3 & 57;33,82
5 & 8 & 20;37,39
5 & 9 & 20;33,85
5 & 12 & 20;40
5 & 12 & 53;40
5 & 12 & 63;33,75
5 & 14 & 51;34,44
6 & 8 & 35;36,11
6 & 9 & 71;33,33
6 & 10 & 53;33,33
6 & 14 & 24;33,98
7 & 8 & 35;42,62
7 & 9 & 25;36,36
7 & 10 & 34;35,29
7 & 10 & 41;41,18
7 & 10 & 53;35,29
7 & 11 & 42;34,29
7 & 11 & 44;37,14
7 & 11 & 53;34,29
7 & 11 & 57;34,29
7 & 11 & 60;37,14
7 & 11 & 72;34,29
7 & 12 & 34;36,59
7 & 13 & 35;33,33
7 & 16 & 23;33,9
7 & 16 & 41;37,29
8 & 4 & 17;33,61
8 & 5 & 20;37,39
8 & 6 & 35;36,11
8 & 7 & 35;42,62
8 & 10 & 70;42,42
8 & 12 & 35;33,33
8 & 13 & 52;36,47
8 & 13 & 53;37,65
8 & 48 & 17;33,93
9 & 3 & 35;37,74
9 & 4 & 18;35,29
9 & 5 & 20;33,85
9 & 6 & 71;33,33
9 & 7 & 25;36,36
9 & 10 & 31;33,33
9 & 11 & 57;37,5
9 & 12 & 35;36,36
9 & 12 & 71;34,85
9 & 13 & 32;34,43
9 & 14 & 32;33,9
9 & 15 & 18;35,62
10 & 1 & 25;34,48
10 & 3 & 20;35,71
10 & 3 & 38;33,93
10 & 6 & 53;33,33
10 & 7 & 34;35,29
10 & 7 & 41;41,18
10 & 7 & 53;35,29
10 & 8 & 70;42,42
10 & 9 & 31;33,33
10 & 11 & 53;38,03
10 & 12 & 20;34,48
10 & 13 & 53;37,65
10 & 13 & 65;35,29
10 & 16 & 53;36,9
10 & 46 & 20;33,33
10 & 54 & 53;34,49
10 & 60 & 53;33,46
11 & 4 & 18;35,38
11 & 7 & 42;34,29
11 & 7 & 44;37,14
11 & 7 & 53;34,29
11 & 7 & 57;34,29
11 & 7 & 60;37,14
11 & 7 & 72;34,29
11 & 9 & 57;37,5
11 & 10 & 53;38,03
11 & 13 & 53;56
11 & 15 & 60;34,48
11 & 16 & 23;45
11 & 58 & 53;33,12
12 & 3 & 20;38,03
12 & 5 & 20;40
12 & 5 & 53;40
12 & 5 & 63;33,75
12 & 7 & 34;36,59
12 & 8 & 35;33,33
12 & 9 & 35;36,36
12 & 9 & 71;34,85
12 & 10 & 20;34,48
13 & 1 & 17;38,89
13 & 1 & 49;36,67
13 & 2 & 28;35,14
13 & 2 & 65;33,78
13 & 4 & 32;34,29
13 & 7 & 35;33,33
13 & 8 & 52;36,47
13 & 8 & 53;37,65
13 & 9 & 32;34,43
13 & 10 & 53;37,65
13 & 10 & 65;35,29
13 & 11 & 53;56
13 & 14 & 40;36,73
13 & 14 & 44;34,69
13 & 15 & 32;36,21
13 & 16 & 53;38,1
13 & 28 & 53;33,94
13 & 64 & 53;34,39
14 & 4 & 57;35,09
14 & 5 & 51;34,44
14 & 6 & 24;33,98
14 & 9 & 32;33,9
14 & 13 & 40;36,73
14 & 13 & 44;34,69
14 & 16 & 67;35,9
14 & 27 & 53;36,18
15 & 2 & 36;33,98
15 & 9 & 18;35,62
15 & 11 & 60;34,48
15 & 13 & 32;36,21
15 & 27 & 53;35,19
16 & 3 & 20;35,09
16 & 7 & 23;33,9
16 & 7 & 41;37,29
16 & 10 & 53;36,9
16 & 11 & 23;45
16 & 13 & 53;38,1
16 & 14 & 67;35,9
16 & 54 & 53;33,09
22 & 4 & 17;33,33
27 & 14 & 53;36,18
27 & 15 & 53;35,19
27 & 31 & 53;33,47
27 & 57 & 53;33,03
28 & 13 & 53;33,94
31 & 27 & 53;33,47
46 & 10 & 20;33,33
47 & 4 & 17;35,02
48 & 8 & 17;33,93
50 & 3 & 20;34,76
52 & 4 & 17;33,52
53 & 4 & 17;33,33
54 & 10 & 53;34,49
54 & 16 & 53;33,09
57 & 27 & 53;33,03
58 & 11 & 53;33,12
60 & 10 & 53;33,46
64 & 13 & 53;34,39
